Screen Name;Full Name
@EdDarrell;Ed Darrell 8645110320
@sihle_eurozy;ProudlySouthAfrican
@Rosario_RS;Rosie Rosas
@steelman5077;Michael Hagan
@CTIronman;CTIronman
@Martina;Martina Navratilova
@InhellJourney;Journey Inhell
@sarrahh011;sarrahh01
@guilhermecorde;Guilherme # Beta
@rbyrnereilly;R. Byrne Reilly
@leislgirl;VoiceGirl
@MacleanJoyce;Joyce crickett
@LatestComments;Latest Commentary
@leslie_barile;Leslie Barile
@KelliJaeBaeli;Kelli Jae Baeli 😷 #BLM #UnionDown #VoteBlue🌊🗽
@AndyVermaut;Andy Vermaut
@RagingLibNana;NANA❤️🇨🇦🌊🌊💛💛Biden/Harris
@a_martinoro;Ángel Martín Oro
@ybfmiami;ybfmiami
@vsm2456;Vic
@caravaggio12;Alf - Europhile.
@DoingPaid;GetPaidDoingStuff
@GellatioBot;GellatioBot
@balaedi;Idiyappam Curry 😋
@robbyusea;Rob
@KillbotX;MENSCH•BOT∞3000
@3in1forlife;CourageSpeaks
@trevorbmbagency;trevor beattie
@mTmimosa;Maria Estela DeVera
@SciasWolf;Scias Wolf #4142
@AlanRay07;Alan Ray
@kevin_global;Sanjeev_Kumar
@shashank_4287;Shashank
@kimhurdman;Kim Hurdman
@xxUncleMonkeyxx;🌵Uncle Monkey🌵☀️☀️☀️
@jmfisher71;The Truth Resists 🇺🇸🏹🌎🌲
@johnodixon3;Delo033
@globalwonks;GlobalWonks
@Alvinthe1st;AJ - Ticked off veteran
@cmceltic52;CMac 🌊🌊🌊💙😷🌊💔
@SingleMaltz;Resist What’s Happening in Our Country! 🆘 🇺🇸 🌊
@elzorn;Elizabeth Zorn
@aabraha00422511;aabraham
@BonesJones09;Scott Jones
@NotHoodlum;Hoodlum 🇺🇸
@mujtaba_haruna;Mujtaba haruna
@jtwigg9;Judy Twigg
@CynthiaConkling;Cynthia Conkling
@AndrewV50196572;Andy Vaughan
@Poynter;Poynter
@moonbounce_;Moon Bounce
@ScorpioPisces9;Cathy St John
@TornCurtain1991;The Torn Curtain
@roblox_putin_;RobloxPutin 👤
@sovietsuntzu;Sun Tzu
@chaleeboh3131;charles benjamin
@steve_dungy;steve.dungy
@BlazerLegacy;Blazer Legacy
@hunnnnuh;𝖕𝖑𝖆𝖞𝖊𝖗 𝖔𝖓𝖊
@99wallstreet;99wallstreet
@JMBossert1;J Michael Bossert
@cmacrina27;Claude Macrina
@TheTweetsTimes;Observer
@John08122016;John Johnson
@Nef92_;Evinho
@KHive4Biden;Frank 🍥
@SamCarr40408258;Biden2020Rep
@TPDugger;Tim Dugger
@KPickhart;Kat Lyst
@iWoodDragon;Anna-ish
@PandaScottish;ScottishPanda
@CarolynHogarth;Carolyn Hogarth
@mezla108;Mancity17
@melsavage12;mel savage
@Medhinho28;Medhinho
@KMurreh;Murreh
@MsivoryF;MSIVORY FUNSEEKER
@PatriciaHowie;Patricia Howie
@Enough212;ENOUGH 🌊♿️🏳️‍🌈✊
@KevinSussman;Kevin Sussman
@CollinsDionte;Founding Fathers
@GiammonaPhil;Phil Giammona
@ReggieDog3;Reggie (kennel genius) dog
@herealexhere;alex, the creator
@TLilliepi;THELilliepi
@lpz3;Thoughts Aloud🌈#StaySafe🇬🇧
@barbara88480666;barbara
@USIntegrityProj;Congressional Integrity Project
@joylynbest;💋Shirley 👠💃
@DamienW89753708;Rage Raptorsaurus
@CJ_VoteRed;🇺🇸 CJ 🇮🇹
@erikssondan;Dan Eriksson
@Oostr3;Boris Oostr
@Kimma_S;Kimma
@Amy_Siskind;Amy Siskind 🏳️‍🌈
@kahleesiblue;kahleesiblue
@Jerry_The_God;Jerry
@ndhamilton12132;neil hamilton
@pleaseh13711753;please help us
@WingTrending;Trending Right Wing News
@SouthernMaxims;Relevant Aphorisms
@wernet;wernet
@NancyABanker;Nancy A Banker
@DashanaDozier;DaShana Purnell Delorees Dozier
@zeena_kd;ZeenA
@realsarahaley;Sara Weston
@PDruilhet;Perla Druilhet
@WilliamJFricke2;PhillyMusicMan
@XSovietNews;X Soviet
@LorLyBa;🌊 LorLynBa
@hgar72;Heriberto Garcia
@beck_jea;JeaBeck
@KjTrudy;Trudydoll
@SDSF3333;Sue
@dbcdthumper5;chris marshall
@cabresch;Craig
@fluffyman47;Bill
@vimtogirl;💎☁️
@vaidehir9;Vaidehi Rajguru
@genechick50;ELLA  *IF you are REPUBLICAN, you are A CRIMINAL!*
@marckeepper;Vote Biden/Harris & wear your mask, thanks!
@MashedUpMovies;MashedUpMovies
@myrubypearl;Sarah Anderson
@flxdrinkingnow;Wayne Schutz
@giscarto;Ilse Genovese
@Kim28363010;serene
@reaIdonaIdtripe;Donald J(erk) Trump
@ViceGodhead;Vice Godhead
@FuzzyEddie;Fuzzy Eddie
@LoveLogCabins;Thomas Feller
@MARCUS1961UK;@MARCUS1961UK
@zuuliebullie;Zuul 🌊 🇺🇸There is no tRUMP, only Zuul
@TheUSTalker;The US Talker
@justinyost;Justin Yost
@Lady_Glencora;Lady_Glencora💔
@AnthonyVillany;anthony villany
@SKN_NASAA;SKN
@ShannsolSolberg;ShannSol
@fettjango7;FettJango7
@jimsfoto;JfnD
@Ironcapt;Iron Capt
@JackSussek;Jack Sussek
@OrmeSwithun;Swithun Orme
@bibek1002;__mr_brownie__
@katerwriter;Kate Robinson
@HeIsShocked;DemocracyForever
@scully_sullivan;Secret Scully Sullivan 💀
@theradardude;Dr. Gary McKay
@oregoncoastgal;Pam DeGlow
@lavbhargava;Lav Bhargava
@Mary_Burgess;Mary Burgess
@funlaughangel;Monique McFaddin
@AdelesBabyDaddy;Gabadiya 🇨🇩
@JhdJane;jane h dexter
@edwardtoyou2;edward collins
@neymanr1;neymanr
@Orphan;Orphan
@curtinsea;Curtis Woodard
@LilKeke58919124;Lil Keke
@Atmvn;Atman
@J59832579;James
@lnmnkatz;Lou Katz
@Time2Coach;DasCoachingPowerhouse 🇩🇪🇿🇦
@OleVetUSAF;"Ole Vet ""VetsResistSquadron"""
@Anime_Now90;Anime_Now
@physicspolitics;"""We Are The Future"" Academy"
@NCHavelock;Edgar Havelock
@JLuth;JRL
@miacapri3;Mama Tino
@AliAvanti82;Ali Avanti
@toal_maggie;Maggie Toal
@sashkowycz;Шурон Васильович
@Caerage;JaneDoeMD
@melisandrePro;Milli
@RahmanOfIndia;رحمان
@Lmo66Olson;LynneMarie Olson
@jchambers911;Judith Chambers
@abit_spicy;Spicy 🎀
@MollyJayne86;Molly Jayne
@_kash_v;Optimus Sub-Prime: Debtcepticon
@MMNewzz;MMNewzz
@FAScientists;Federation of American Scientists
@julycrab712;Anibelle ☮️🗣🦀
@alexandralou29;alexandra montclare
@CulpritEnter;Culprit
@gayjewishmale;(((King of the Gay Jews I)))✡️🇺🇸🕎🏳️‍🌈🥁🟥🇮🇱
@_m396;Mel...
@comgenKDT;Cyborg v23∞
@savanahloverose;Savanah 🌹
@wexthoughts;Richard Wexler
@dominiquebalie;Dominique
@Allen_Clifton;Allen Clifton
@ericalvino;Eric alvino
@SmithDwane;Orwell 2020 🆘 DEFUND THE STORMTROOPERS
@Gou_Tongzhi;Francis Parsons
@pickle2717;Tracy Barnett Ⓥ
@AndrewGoetz1;Andrew Goetz
@JohnLukeSam1;Make Bunker-Don Gone
@Stephen76948225;Stephen bonner
@BuzzFeedster;Buzz Feedster
@The1Justin;☠
@TanVu69714183;Vu Tan
@CBSNews;CBS News
@GetCalCISO;CalCISO
@TCoruth;Tina Coruth
@CarverMolnar;Mike Molnar
@palinterest;Palinterest
@AddymyPat;Addy
@JSemkiv;Jason Semkiv
@CPO_JOE;Joe
@rarerafs;𝒜𝑀𝐼𝐿𝐿𝐼
@MichaelTerran;Michael
@Ben_s214;Ben Scott
@GGreyscale;Surreal Outrage ✌✌
@Sahendra_Singh7;Sahendra Singh
@Ayanamatata;Ayanamatata 💜
@mdenisov_ru;Максим Денисов
@TanmoySpeak;@iamtanmoy
@Chris__Sage;Chris Sage
@billybob6609;billybob
@matchew44847373;matchew
@mylesmc49;Myles McSterling
@lisagstraw3;Lis
@hemanttnameh;Hemant sarawgi
@VincentDiazJr1;Vincent Diaz Jr
@littlegee15;Gail 🌊🗳🇺🇸😷
@mahoneypaul1;paul mahoney
@AcharyaBJB;ACHARYA BASAVARAJ BADIGER
@jawhnn;josh ☭
@Poyrazcck;Poyraz Ç.
@pravdaispravda;Stephanie LeFranc
@TrumpIdeasBot;Donald Trump Sr.
@HarrimanInst;Harriman Institute
@daled_33;Dale Dymkoski
@BettySloan1;Betty Sloan
@MusicTramp;MusicTramp💚
@Rddedhd;Jeff Feinberg
@SecretNews;Infinite Unknown
@LaCaaautiva;La NO BLANCA Lau 😻
@TheGameVeda;Navdeep Singh Rajwanshi
@jamesnixey;James Nixey
@Sanaull01296045;Sanaullahkhan
@shambekela_;#GenerationalWealth 💰
@Quantum49190438;Quantum
@Stgenepress;Straight Outta Bethlehem
@damspahn;Spirit of 2020
@RatherDog;B. Louie
@JamesLaidlaw2;James Laidlaw
@BigHit94230346;BigHit
@ladychampney;ViTSa Mama 🌊 🇺🇸 Vote To Save America! 🇺🇸 🌊
@ibanut;Montzalee Wittmann
@therussophile;Karl E
@BTDTB4;GreyGoose
@atanessi;Grigor Atanesian
@johnnynaugahyde;jb
@MightyResistor;R.L.
@french_ruth;OhOhWitchyWoman
@newsouth418;Robert Heikkila
@ABerman333;ABerman333
@mhp_1776;Mel (Wear A Damn Mask)
@MarcDeCock5;Marc
@MrFutbol;MrFutbol
@arnold5508;Arnold Mamesah MA
@fToRrEeEsSt;Michael R. Weinstein, Bookseller #EndTheDuopoly
@RandiM20;Randi M 🐴
@recallscott;linda horn
@rajon36_rajon;AMINUL ISLAM RAJON
@j_putin;Vladimir V. Putin
@JWBstuhr;JWBstuhr
@hayvibouzo;Hayvi Bouzo هيفي بوظو
@AnibalInvic;Anibal (wear the bloody facemask!) Invictus
@AllanAgard;The Conscious Underground
@Christo02430129;Christopher Leigh
@whiney815;Whiney
@robertdoriannor;Robert Norberg
@MbuguaKimaniGe1;Mbugua Kimani Geoffrey
@LucySocha;Lucy Mary Ann
@Trumpisgoingdow;I'm Anti-Fascist! How about you?
@needabunker;#MassiveWHcoverup happening
@DictatorRadar;Dictator Radar
@DemNevada;Dr G
@bonomo_robert;Robert Bonomo
@dwayneolds67;www.adam67
@MacCheeseShow;Mac - #StayHome if you can.
@GOPKlanSucks1;Just Say No To Klan GOP
@dufus;WEAR A DAMN MASK AND VOTE BLUE #BLM #BIDEN
@BambinoYbm;The Real Big Slime
@drdoodlie1994;Edith Miller
@tilbert;Roadside Picnic
@Ahmed09348773;Huriyahالحرية
@Bold_balak;Vishu
@CristopherOcean;Cristopher
@shari_tweet;Tweet 16
@wenwar69;Wen War
@SpencerMagne;Spencer Coleman
@ofnfme;Ofnf.Me
@toonsmag;Toons Mag
@bountytx;Tipping Point🇺🇸
@SajiKG3;Sachu Dev
@WamsuttaLives;Joe Biden's R🅰️pe Kit of Color
@indianagranny70;tina bolt
@NatureNews;Nature News & Comment
@JaredOfLondon;Ja-Rnold
@idpatankar;Indrajit Patankar
@Felixx1990;felix
@ThomasHohn6;Thomas Hohn
@TheBestAkrep;Dünyalı & Pastafarya🇹🇷♍♥️🔴
@minxiv7;Minxi
@NancyNanjohnst;Nancy Johnston
@HarryWickham97;Harry Wickham
@jschln1;Gerald A Johnson
@PK_Tech_Vermin;Peacekeeper Tech Girl
@sally_beaver;BIDEN/HARRIS FOR THE WIN!!!💙💙💙
@DHHS_Podfather;Ken Nedler
@MFaustian;MFaustian
@ARobhere13;A Rob
@OBRtweets;OBR
@406Llama;Llama
@hyperbranch;🛆
@dzhoseff;Joseph Dillon
@OpsterOpp;Opster
@Joni_Looking;Joni Skibo/LaCroix
@HelenaofTroy60;Jo Anne Roberts
@UnitedHKJ;Harish
@Mont_Jiang;combat liberalism
@National_Digest;TheNationalDigest
@jrflamingo;Judy A Ross
@walton_vikki;🆘TRUMP IS LYING, PEOPLE ARE DYING!STAY HOME🆘
@lesliesusan27;leslie
@eclairevoyant;Gra'ma Banana
@neomort;Gabo
@goshdarngeewhiz;Indira Singh
@themunsifdaily;The Munsif Daily
@colderrthannice;𝓡𝓮𝓮𝓭𝓼🇱🇧
@xxvii_27_;XXVII
@MeetsSarah;Sarah Meets
@Mainrushun;Lara Demidova☭
@JosephamillerII;NOT RATTLED Joseph Miller
@DownWithTrump51;Amy's Daddy
@RobinHoodlums;Just Barry
@Putin_the_nuke;Putin
@StenHubinette;M. Sten D. Hübinette
@GazabOfficial;gazab.official
@MMCOWRD;MMCOWRD (AKA.. MadCow)
@Specs_52;Speconidas I
@MarleneMalik2;Marlene Malik
@AMCostaRicaNews;AMCostaRica
@ChrisLoesch;Chris Loesch
@RSKazimer;Richard S. Kazimer
@ShellySin1;Shelly Sin
@Rebecca41356515;Rebecca
@GoodSteward17;Blair Steward
@frrankoceann;skybizarre
@MaisonDeUnicorn;unicorn wrangler
@sardesairajdeep;Rajdeep Sardesai
@lindacaseauthor;Linda Case
@geokaren;Karen is Ridin with Biden
@vubblePOP;VUBBLE
@KeylanHarris;Keylan KFresh Harris
@TheWoofus;TheWoofus 🌹
@Space48361074;Space
@CaldariWaifu;Sohalah PerevozchikovaⓋ☭🔻☦️🇷🇺🇮🇷
@MphoMfolo;Phobla
@Sm411R;SM411.R3PoRT3R
@YouGottaVote;YouGottaVote
