Screen Name;Followers;Follows;User Since;Location.1;Bio
@gregmart;568;1757;4/05/2009;Redmond, WA;Seattle sports fan. Life long Dodger. Belong to the common sense party. I reserve the right to change my mind, do you? #IOTA fan.
@desimurgesh;3;3;3/07/2020;;
@Helens31Self;1610;2466;7/10/2013;;Loves God, my Family & I’m a strong Democrat, Atlanta Braves!
@davidgraeber;112094;1692;28/03/2009;London;I'm an anthropologist, sometimes I occupy things & such. I see anarchism as something you do not an identity so don't call me the anarchist anthropologist
@txantxibiri;1701;5000;15/08/2012;Ultramarinos;Denetarik apur bat ... edo bi - Colours, Sounds and Words https://es.pinterest.com/ertzetatik/
@KleinfeldtStacy;1546;1920;5/06/2015;Oregon, USA;☆Vote By Mail☆ Black lives matter
@MarnieRose2;7096;7347;17/07/2011;California, USA;🚫DM'S without permission, mother, avid reader, NHL, IndyCar & F1 fan, history buff, animal lover, Reiki, Lightworker, #RESISTANCE, #FBR, #LGBTQ supporter
@ShuvoR_;2022;193;14/03/2009;In a Galaxy far, far away...;Hi. I'm Shuvo, and this is my Twitter thing. Yay.
@vinaypande_TOI;271;135;1/12/2009;Nagpur;Journalist (The Times of India) | Socialist | Tweets are personal | Retweets are not endorsements Instagram: @journ_vinaypande
@modalitiesMike;67;117;20/08/2009;Michigan;Personal opinion only. #CriticalThinkingRequired | #NoDieties | #VoteForYourLife | #StopHateForProfit
@3873_399;979;2332;31/12/2018;Reno, NV;Lead singer composer for the http://kozmikraiz.com ... Vietnam Vet. surfer, poker player,love Reno. RAIZ WOLVES.. BA Psychology...travel.politics/blue.
@nadeemmirbahar;1950;693;20/08/2010;Karachi, Pakistan;Ecologist|Environment|Water|Forests|Biodiversity|Nature|Marine|REDD+|CChange|Policy|Governance|SDGs| Expert @IUCN_Ecosystem Commission,CEM|ResScholar|Opn Persnl
@JacquieWells4;462;371;10/03/2017;New York, USA;Democrat
@martine_elyse;97;485;21/02/2018;;"Lists will be blocked. ""You will never do anything in this world without courage. It is the greatest quality of the mind next to honor."" Aristotle"
@susankenn6;1;69;9/10/2013;;
@DottirGongu;7;63;24/04/2020;Svalbarðseyri  🇮🇸  ;I'm an e-eng. & have worked for 20 years as a development eng. in R&D in the large industry - but marriage, family & divorce mean a massive career decline ....
@LindaStartsOver;508;784;11/04/2018;;A great democracy must be progressive or it will soon cease to be a great democracy. -Theodore Roosevelt
@Vabapagla;19;36;17/03/2010;;
@Newzjunkie_;494;456;3/01/2012;On Your Timeline;CHECKING THE HEADLINES - News Junkie 📺📰🤓#BREAKINGNEWS #BREAKING #NEWS
@fatimaallie7;340;595;14/02/2018;Cape Town, South Africa;Wife and Mom. Brain Tumor Survivor. Mom of a totally bad ass Nurse!
@JackTzu1;2170;2083;15/03/2020;;Artist, satire, #Resister , free thinker !
@arun120493;42;2050;14/10/2013;Bengaluru South, Karnataka;Be positive all is well
@VoicesVoters;164;188;21/07/2019;United States;
@Thuxedo;2238;596;16/09/2009;Nairobi;Knowledge niko nayo enyewe mtaogopa. Designer, Art Director & Contemporary Artist.
@BlackawkLll;52;356;24/02/2020;San Francisco, CA;Twitter threw previous generations off the island @Christi47789364 and @Christi60896225 live on, my allegiance is to their memory
@SsiddyyHaney;278;420;17/02/2014;Tennessee, USA;20 • Josh • RSCC-X-ray tech.
@Shibumi101;108;92;25/08/2011;;
@siddhipanchari1;53;236;26/12/2019;New Delhi, India;I don’t take life seriously so you don’t take my tweets seriously. I also studied political science from DU for no good reason at all.
@TheGameVeda;2036;4876;11/04/2009;surfing off the wave;Pattern Recognition & disruption, evolving what's next: Quantum (Reality) QR (so over XR,VR,AR MR ) AI 360° holographic filming application, hardware,games & ?
@goeliath;229;50;3/12/2018;Trying to leave Twitter;I draw pictures of Scifi and fantasy
@HollyHuntley3;824;48;30/06/2017;;"daughter, sister, aunt, brain aneurism survivor, animal & environmental lover, no tolerance for ""idiots"" or ""stupid"" people."
@ganja_seeds;4451;4769;18/01/2017;usa;We are #affiliated with or own companies in our #tweets apart from #soundcloud and other disputed tweets - #cannabis #seeds and #weed products #advertising
@Lemazing_;209;223;26/04/2017;;💤 i sleep a lot| to die for ice cream| nocturnal
@alexandr_monday;8;48;26/06/2019;;World Traveler, Follower of History, watching history repeat itself. Feeling doomed because enough people haven't learned from it.
@akamran111;1795;3409;15/07/2013;Peshawar ,Pakistan;Reporter at @Aaj_urdu, Former @CapitalTV_News, Journalist/Media Researcher/MA Journalism&Mass Communication/Tweets are personal/RTs are not endorsements
@Liberal_TX;6864;7244;30/01/2017;Texas, USA;Have a voting plan! Do not be distracted by 45s dirty tricks! FOCUS! We have a country to save. #VoteBlueDownBallot. Margin of victory MATTERS. #Biden46
@dcal4570;882;1791;27/08/2010;;"""There is no difference between communism and socialism, except in the means of achieving the same ultimate end: communism proposes to enslave men by force, soc"
@BBopTop;759;1890;25/01/2011;#BlueWave2020 NYC;Trump thinks he’s above the law. Barr supports his thuggish authoritarian behavior while the GOP is compromised. #TrumpIsADictator
@debjanise;418;789;1/06/2012;;
@TPPNewsOfficial;1177;2074;17/08/2019;Pakistan;#ThePakistanPost or #TPPNews Features #Breaking and #Important #News From #Pakistan #World #Health #Sports #Entertainment #SciTech & #Business Communities.
@chssc1967;14;28;12/02/2017;;
@Tellawi;347;4998;9/09/2009;North Carolina, USA;
@Deeds46820608;104;213;1/11/2018;Honeoye Falls, NY;Title9, independent woman, family is everything
@Oz_Kabotji;15;0;30/10/2016;The frontlines ;Morally superior being - Saving the world and bringing fascists to justice one tweet at a time. Tweeting so the original doesn't have to
@Rajan8998;492;1168;1/06/2009;;Future in 3 words- #WEB3, #DeFi, #ChainLink ! No Red States, No Blue States! Just United States - We sink or swim and prosper together! BLM! 8645!
@TCanseeyou;2249;4841;22/01/2020;Washington, USA;We have counted coup on Trump. He is down and cornered like a wounded polecat! Watch his ass! that's where his plans come out, between Mnuchin & Miller's faces
@moremitmita;0;55;12/08/2020;;
@but_their;1594;46;13/07/2019;;Self-imposed political email expert and blogger. She/Her. Buy me a coffee? http://ko-fi.com/ButTheirEmails
@PuneSuperGiant;316;1038;18/01/2016;Pune- Kolkatta;"Gives Free advice on anything and everything! Comments on everything on earth; don’t take it seriously 😐"
@denisepets;1036;772;22/08/2014;Southern tip of Africa;Diver, lover of the ocean. Politics Eco activist. Longing to live off the grid. Interested in design of small spaces, Tango & language - Learning brevity here .
@MB3252;10771;11619;1/08/2009;Indiana, USA;I am Resistance I am Democrat I am Never-Trumper I am the WhistleBlower I am Retired I am Married
@LargeUglyGuy;22;339;7/06/2019;;Cranky old coot
@KendraDrake94;2487;1920;24/01/2017;Ferndale, Washington, USA;Animal lover * Westie Mom * One 🌎 Love not Hate 💜 No List's PLS 💜 #NoOneIsAboveTheLaw #CountryBeforeParty #TheResistance #Z23 #ONEV1
@jjsmokkieBOY57;29336;29084;25/04/2018;Texas, USA;62yr old scorpio, animal & husband lover married to best friend 40 yrs.hate trump PRUvetted FBR LGBTQ & BLM ALLIES
@WatsupAmericas;2747;1801;25/09/2015;The America's.;The America's - Latest News & Entertainment. All Video. Follow For Instant Updates @watsupamericas FB: http://facebook.com/watsupamericas
@finestcuts;389;1354;28/02/2011; I'm with you, everywhere;Thanks for stopping by. Yes I'll go there, and this timeline is not meant to be comfortable reading. Here to learn from and interact with other Twitter users.
@ish_kee;1142;1701;11/06/2020;;Real News, Real People, Talkin' Issues. #Ishnation #HoldTheLine #SystemicRacism #ResearchAndDestroy http://anchor.fm/eric-dixon5 http://youtube.com/channel/UC5lbv…
@J59832579;271;1560;13/11/2016;Denver, CO;
@VisibleSoul;2021;3181;22/08/2008;iPhone: 40.770401,-73.923676;Actor, Writer, Runner and Bibliophile
@KendraStarz;200;197;16/02/2018;Planet Earth;🇷🇺🇺🇸 Originally from #NYC, now residing in the great city of #Austin #Texas
@MailOnline;2570243;2285;15/07/2008;;For the latest updates on breaking news visit our website http://www.dailymail.co.uk #seriouslypopular
@Angry_in_A2;255;377;15/05/2020;Ann Arbor, MI;Openly gray. Tired of the stupidity. Come on humanity - prove me wrong!
@ZacharyBrennan;5187;1012;11/06/2012;Washington, DC;FDA/pharma reporter @Politico. Views are mine. zbrennan@politico.com
@MethodistMrs;157;179;27/01/2020;;Reformed Republican Vote Blue To Save America
@Sethinomics;5614;216;8/04/2014;India;Progressive Indian. Blogs @ http://Sethinomics.com. Congress supporter. Views personal and not investment advice.
@Peaches52588560;7;11;6/02/2020;;Democracy, Education, Nature, Music ...
@prajnith;214;15;11/01/2008;Earth;Fun loving Earthling, Tech enthu, mBedded Developer, Gadget Geek... Just Love The Smell Of Technology!!!!
@JlVoix;1616;1961;3/12/2011;Connecticut, USA;Director, Human SVCS Agency, ENV Activist, Free Lance Writer, French Speaker, Cornell, Madly Political #Biden2020 #BLM #ClimateChange #SCOTUS
@Buttschnauzer;3283;3378;30/07/2018;Where my VPN says I am;𝗜 𝗮𝗺 𝗮 𝗻𝗮𝘁𝗶𝘃𝗲 𝗦𝗰𝗼𝘁. 𝗜 𝗮𝗺 𝗤𝘂𝗲𝗲𝗿 𝗮𝗻𝗱 𝗮 𝗦𝗼𝗰𝗶𝗮𝗹𝗶𝘀𝘁. 𝗜 𝗵𝗮𝘃𝗲 𝗻𝗼 𝗳𝗶𝗹𝘁𝗲𝗿. I am a political and social activist, but more than anything, I am a ruiner.
@ThePatrickRollo;508;607;3/05/2011;Rhode Island;What can I do for you? Seriously, Ask. I'll say no if I can't. he/him/his Creator of Alphabetical Order, you’re welcome.
@kamero43;521;1266;29/08/2012;Florida, USA;No one knows the value of freedom better than those who have been oppressed. KEEP AMERICA FREE!
@hishaamkraft;8762;331;26/03/2017;;you do deliveries or should i pick up the 🎂?
@delusional_u;0;0;9/06/2020;;
@frankhuzur;2196;1904;25/06/2009;London;Poet, dramatist(Hitler in Love with Madonna) & Author- Imran Vs Imran, The Socialist, The Tipu Story, Soho (memoir) http://frankhuzur.com
@JasonMeowthew;400;591;22/03/2011;;ΔΣΦ UNCW alum, Former Disney Magic Maker, Doggo Enthusiast, Co-Worker, Friend of the Bee, Team Cap, #SpookyCLT
@donaldsangel;9761;8267;22/08/2015;Somewhere in Time;My personal thoughts are protected Free Speech under the 1st Amendment. Trump fan since he went down the escalator. @realdonaldtrump is a #Machoman
@Lannatexasgal;2742;1518;9/05/2011;;Love2dance&read. Straight forward, which when combined with my wicked sense of humor can lead to trouble.
@4_the_babies;16744;16269;17/11/2013;California, USA;Human Rights. Animal Rights. Liberal. Atheist. #NotMyPresident #GunReformNow #FamiliesBelongTogether #AbolishICE NO LISTS
@BetMeAndLose;103;443;8/03/2011;Illinois, USA;IT Mgr | Liberal | LGBTQ supporter | Introvert | Go Cubs | Mexican food freak | Decent cook | Crappy drummer | Sci-fi fan | Enduring a life wasted | He / Him
@DueDiligenceBae;2479;2751;3/04/2014;Houston, Texas;mommy, wife, nurse, Latina, Texan 🇺🇸📉❤️. University of Texas Longhorn with a BSN in nursing. First generation immigrant to 🇨🇱 parents. hablo espaniol.
@NoraFarr;11032;2999;25/02/2009;Sarasota, FL;Author of The Lightbearers - Sci-fi/fantasy Ancient Egyptian King & Queen reincarnate together for 3300 years. Follow their journey Sequel in the works
@RickSacrop;2341;2098;6/09/2017;Outside the pub, freezing and ;Englishman, RIP EU, Conservative Council candidate, Rtd School Governor. Musician. Support our farmers. 🖕 BBC. Huge respect for armed services. On the square.
@fedupamerican19;3494;5001;20/01/2019;United States;I believe in opportunity for all, to have empathy, to provide security and equal rights to everyone. So, yes, let’s keep up the resistance, 🌊#VoteTrumpOut2020
@Mike23614;5337;5314;8/02/2019;;Democrat. NeverTrump.STEELERS 6X.PENGUINS 5X. Champs.FLUSH THE ORANGE TURD ON NOVEMBER THIRD. Animal Lover too! For M.A.G.A.ts. Call Animal Control.
@60sfolks;3827;4582;11/11/2010;;Remembering the #60s and serving #boomers and erstwhile #hippies
@KevinWalsh1956;2292;4304;19/03/2012;New York, USA;Military Career, Firefighting Career, Been there done that
@NydiaPBonilla;222;608;20/11/2011;;Moderate conservative. Trying to find balance in an imbalanced world. Not a Trumper. Feminism, human rights, environment. Women for Trump = Women for Misogyny
@kushal232323;2860;3622;11/04/2012;United States;love life.Happley married, #Resist #Resist. Biden for President.
@Meribel123;78;450;9/09/2014;;
@Puppoe1;35;372;11/06/2020;;Retired Screenwriter, golfer, Jogger,
@AdiraAsh;277;325;23/10/2018;WA/IN USA;'Justice is out there. Let's get after it.''-Glenn Kirschner. Tyranny comes in like a freight train. Resisters push back like a wrecking ball. #Ridethebluewave
@DadHeretic;109;247;30/05/2020;;Dad,Husband,Youth Basketball Coach,and all around scoundrel!
@RainbowsFart;129;293;18/09/2019;;if i was a beverage you would have to drink hot.
@HarrisonFjord9;16;115;5/07/2020;;I'm pretty sure Trump wears a sash around the White House.
@GlennCu20551984;1;2;24/05/2020;Germany;... is out of the country for now.
@p_sweett;171;84;10/07/2014;London ;And all of my peaches are ruined bitch ☆☆☆☆ 🇩🇪/🇬🇧/🇺🇸/🇦🇪
@StanKeaton;3033;3993;15/03/2013;SE London;Creator. Bankrupt. Surrounded by idiots and fools. Books, music, art, tea. Fibro.
@lyonscm;780;1451;3/10/2011;charleston sc;social worker valuing the human rights of all, lover of all living creatures, climate change believer, vigilant to protect the earth and our US democracy
@SirenaMarbella;515;878;19/10/2016;;
@oconnell_ray;85;468;1/04/2013;;
@holyshiftt3;148;397;24/09/2015;;a hard working mom who cares about our planet and other beings
@tinameazell;133;480;16/04/2009;;social chameleon, writer, voice person, fence sitter
@AdityaSTomar_1;25;93;26/04/2016;;just a Gen Z kid raised like a millennial.
@gwestr;8212;6965;20/02/2011;Marin, CA;Enterprise software platform product manager. Work at $MSFT, $MDLA, $CRM.
@delusional_u;0;0;9/06/2020;;
@DividualsTweet;292;200;10/09/2015;;
@abdallairteimeh;55;651;13/11/2011;United States;studentofAmrGov
@truenorthpoint;2836;4976;2/10/2013;Wherever you are, so am I.;A nice set of tweets and some rock hard puns— for someone my age. 🚫MAGA 🚫trump 🚫traitor tots 🌊 RESIST! MPH since 1983- Public Health Rocks!
@NYkrinDC;471;557;16/01/2009;Washington, DC;Used to be a blogger, now I'm just someone trying to figure out how we ended up in the worst possible timeline RT ≠ endorsement. RT = interesting
@Imbolc22;2408;4994;22/06/2014;Mycenae, TN;
@MaraBuieR;10;52;20/09/2016;New Jersey, USA;wife, mom, grandma, citizen, believer, traveler
@marrufodad;365;2156;29/02/2012;Im right here;Former Marine, law enforcement, real estate, now a stay at home dad on a mission.
@ChristianHumano;2167;16;7/09/2009;Marbella, España;“No hace falta vengarse, la gente mala se destruye sola”... NO ME SIGAS si eres: Ultra (izquierda/Derecha/Anarquista etc)
@BluegrassInNYC;822;2063;13/03/2009;Strawberry Fields, NYC;Honest midwesterner making music on UWS 30yrs. Seeking other honest tweeters w/their own thoughts. Perform random acts of kindness & look out for one another.
@Starbright489;68;1985;26/07/2019;Pennsylvania, USA;PA constituent, reads, votes, BFA painting/education, illustrator, sailor. *Monitors news: appalling distain for law & representative government by Trump admin.
@JrCheppo;172;319;31/05/2011;Bloomfield Hills, MI;Cheerleader of Hope
@DrStephensonN;17841;16717;25/01/2019;Gaia (via NJ);Biologist🧬. Climate change is real. Failure-in-Chief and his enablers are unreal. Science and empathy empower our future! wtpBK🌊
@Allison59798116;15887;14767;27/04/2016;N.Y.;IQ45 #impeached #FOREVER‼ N.P. #Patients1st📌 #PPEsavenurseslives📌 #BidenHarris This #Nov3rd has to be #2BIGtoRIG📌 Days left to #Vote 83‼️ #BLM📌
@olliecarroll;21237;2853;4/03/2009;Moscow, Russia;Moscow Correspondent for The @Independent | o.carroll@independent.co.uk | Secure: carrollsecure@protonmail.com
@hbt247;1324;1363;2/05/2009;New Mexico;
@wexler_m;221;385;28/12/2010;;Long-time radio journalist, NPR recidivist, following Europe and the former Soviet Union, Jews anywhere, and anyone with a great story.
@DarlaJeys;626;1092;18/07/2011;Terre Haute, IN;Trump knows what he is doing. Every action he has taken caused death to Americans. We NEED TO FORGET ANY PREJUDICE AND UNITE AS ONE AND SHOW WHAT AMERICA IS.
@expedience2;3818;3582;20/07/2010;NYC;"Air force veteran, retired peace officer. Pragmatic, ergo, no conservatives; or libertarians. Re-tweets mean nothing. I abhor arrogance, and hypocrisy. No lists"
@Macronomics1;4736;952;8/09/2013;;Blogging on Macro trends and Credit since 2009
@iamnirajacharya;177;207;4/03/2019;Nepal;Infinity ∞
@_dtg_84__;385;1234;11/12/2008;;Tennessee Valley Media Alum (Survivor). Husband. Son. AAMU Bulldog. Titans. Lakers. Braves. Roll Tide. Huntsville Native. Five/fifths. 🇺🇲
@anabrakus;832;1593;10/07/2014;;journalist @faktografHR *insert all of the usual disclaimers here*
@markcalton2;48;244;18/04/2020;;
@RD1054;3320;3546;29/11/2018;;Married to best friend 49 years. Father of 2 intelligent beautiful women Papa to 2 Grandaughters. Civil rights, democracy constitution and O-H-I-O. Never Trump!
@NickB09121299;1299;2346;4/09/2019;Vero Beach, FL;Retired twice 25+ years CBS News 1963 to 1988. Director of Planning & Devlp, Torwest 1991 to 2012. Likes: Traveling Swimming, Golf, Veteran: US Army '66-'68
@JackTzu1;2170;2083;15/03/2020;;Artist, satire, #Resister , free thinker !
@TNvolzz;92;112;15/09/2012;Tennessee, USA;clinical research RN, avid learner, faithful voter, military wife, military mom, grandmother speaking my mind with respectful wit
@GcMokhtar;213;124;27/01/2012;;⏭🔙 Insta: mogriw
@JonEntine;7219;6014;25/03/2009;Cincinnati;"Dad journalist iconoclast founder http://GeneticLiteracyProject.org focus on Ag, Human biotech/sustainability/ethics; Emmy-winning former TV news producer, book author"
@rightwirereport;87;98;30/07/2019;;The Truth Be Told
@JackTzu1;2170;2083;15/03/2020;;Artist, satire, #Resister , free thinker !
@Dov_EL;2802;334;15/12/2009;Pianeta Terra;Technology alien #Microsoft #Google #Amazon #Windows #Android
@2673Bharat;33;38;31/01/2017;;Jokes & Observations.
@msohadi;76;258;31/08/2015;;
@Maddog23821265;2353;2849;4/02/2020;;Animal lover. proud PR woman! proud USMC VET! vote blue2020. I support my US Military!!! My family several races of pure love! tRump is a fucking moron!!!
@Sheri1606;351;257;3/10/2013;Hendersonville, NC;Passionate/determined, steadfast, feminist, coll edu, Mom,Biz founder, LLB, Cert Exec Negotiator,visionary, biz dev, risk mngt, gov contr., Dem, UCC, local gov.
@batrasanjiv;996;195;12/12/2011;;
@PaulCogan;1850;4820;31/01/2010;Toronto;
@AndrewS90812090;709;496;19/08/2018;France;A rebel who succeeded now living in France I am a socialist but not from the Corbyn loony left. My views are my views and are explicit
@DankMem61004763;7;3;2/08/2020;;follow @dank.memes.everytime in insta
@chelseahandler;8060022;579;1/02/2009;Los Angeles, CA;@Netflix documentary Hello Privilege, it’s me Chelsea OUT NOW. #1 NYT Best Seller - LIFE WILL BE THE DEATH OF ME🍊
@Matahar38044059;394;606;30/06/2016;;2020 BLUE forever BLUE resist democracy freedom constitution this land is our land we the people
@villars_lucia;2199;963;9/12/2016;;Honduras 🇭🇳 mi primer amor.
@MegablockFX;6;1;18/05/2020;;The best forex signal provider!
@MDrugist;114;152;13/04/2020;Kolhapur, India;meme_drugist💥
@pipster6611;0;60;2/02/2018;;
@gaURavk91140072;27;17;8/04/2019;;Destiny is any date 👀😀😂 Destiny destination on it yes be easy bye 😥
@shelcan2;1969;2314;16/06/2019;United States;My world is small and I protect it like a mamma bear. Stop judging, stop hating. Vote blue and do your part. We can do better than this. 🌊🌊🌊 #resist
@BethYoungblood4;10;109;8/01/2020;;Pharmacological Scientist working to save lives. Neuroscience and pharmacology .Trail & Ultramarathon Runner . Cofounder NewsMediaFilms
@XI_interbrigade;3789;87;13/08/2016;Barad-dûr;To such heights of evil are men driven by Religion. #Lucretius- De Rerum Natura
@lennardfjones;729;2191;30/05/2018;United States;a reflection of everything you hate about yourself. he/him.
@DMannXT;1241;1843;18/02/2017;;Member of #TheResistance. #Resist #Impeach #ImpeachTrump #SaveTheACA
@BeachPretzel2;24121;23554;22/03/2016;United States;"I post breaking news with my reaction/commentary. I LOATHE everything Trump: Rudeness is blocked immediately! #TheResistance; #BlueWave; RT implies agreement***"
@Ayman81274766;6;46;8/06/2018;;
@dianefrancis1;254882;137968;17/07/2009;Canada, US, Europe;Lifelong anti-corruption, anti-stupidity, tech activist. Author, National Post, American Interest, Atlantic Council, Ryerson U, Singularity U
@ruizzz4;66;754;23/09/2015;;
@rajivshori;113;150;23/07/2009;Nairobi, Kenya;Medic, Mental health professional and legal scholar
@BronxGirl1357;1260;1521;31/05/2011;Chicago, IL;Patriotic wife & Mom. Confident that our American institutions will carry us through this turmoil we are experiencing under the current administration. No DMs.
@sundoghigh;18877;18210;1/10/2013;Jacksonville, FL;Keep America Free, Stand with Israel, Support our Military and Police, Deport Establishment politicians. Jesus is Lord #Trump2020
@IoanaScr;55;111;19/04/2020;;Work so hard that people think the aliens did it. Ambition, discipline, patience !
@Ayman81274766;6;46;8/06/2018;;
@gomijacogeo;127;213;27/05/2008;SF Bay;"Reactionary, jaded pretentiousness dressed up in the form of an intellectual pursuit; writhing to avoid analysis and definition. Appropriate all the cultures!"
@abhishekbondre;86;47;12/02/2011;;Jack of many, master of one - my life. I choose to live. And vice versa.
@shelby3a;1569;5002;1/03/2014;erie pa;Former member of the 82nd Airborne d trp 1st 17 th air cav 11b2p. Packers, Raiders fan. supporter of social justice. My relatives fought in ww2 Korea and Nam
@BirdAngut;103;581;3/07/2020;;angut
@KaterinaRousak1;7;93;21/03/2018;;
@CherylBatchelo3;619;1380;29/09/2015;;Passionate about democracy, the USA in all of her strength through diversity, our Const. & the power of education & opportunity to move lives forward
@DesertSunSet8;10;273;3/07/2020;;Live Like Lion Or Die Like Wolf
@BirdAngut;103;581;3/07/2020;;angut
@HappyProgressiv;3990;4424;28/07/2014;;Democrat. Proud Resister. 🌈Proud parent. #NotMyPresident. #NeverAgain. Anti-Ammosexuals. RWNJs will be blocked. #FBR #Resistance #NotOneMore #Basta
@HappyProgressiv;3990;4424;28/07/2014;;Democrat. Proud Resister. 🌈Proud parent. #NotMyPresident. #NeverAgain. Anti-Ammosexuals. RWNJs will be blocked. #FBR #Resistance #NotOneMore #Basta
@CatherineAMcLe1;308;208;8/05/2019;North Kansas City, MO;Person on a journey, as we all are. favorite city in the world? Vancouver BC.
@tinasan05806292;54;27;13/08/2017;;"born &raised Loisaida/NYC woman tired of misogyny and racism. Thankful to be living in the age of Messi. ""I'm not loud, I'm Puerto Rican."""
@RoryPetzer;6584;910;7/06/2009;Durban;Think. Create. Challenge. Executive Producer. Comedian. Creator. Bookings and Collabs: rory@rorypetzer.co.za.
@Maxxkaptin;3004;4965;8/05/2016;United States;
@FreddieSJohnson;1982;4207;8/10/2013;;A regular guy interested in politics. Choreography by Lin-Manuel Miranda.
@ivorycomm1;2259;4019;24/09/2012;;"Former executive editor/publisher of USA TODAY Sports Weekly. Media consultant, J-professor at VCU, American U., musician, Op-Ed writer; editor for hire!"
@MuhammadArifwdr;467;1884;12/07/2012;Depok, West Java, Indonesia.;Iblis berhasil mengalahkan Adam, namun tuhan tidak pernah menetapkan iblis sebagai pemenang. CP : 087887707746. Pin BB : 5A65242A.
@Deingirl;1729;3094;21/08/2009;"Hell! Like the Pat Benatar song ""Hell is for Children!"" I am somebody's child!😎";I will not jump out basement window to commit Suicide,because you want to look good being rude or an ass on here,twitter is not my life.I block http://bots.No DM
@melanieyap08;86;85;16/12/2015;Cebu City, Central Visayas;GROW UP
@ladiesgun;47140;44413;25/01/2016;Planet Earth, Team PMJT.;SMITE the RIGHT! Before they take your lunch money & destroy the planet. RWNJs & Gun Freaks blocked. I also steal memes. Blocking idiots.#TheResistance #FBR
@btsy7;420;295;8/02/2012;Pennsylvania, USA;Wife, mother of 4, & mom-mom of 3. Hoping to elect a president who’ll spread love & acceptance instead of racism & hate. #Resistance #StrongerTogetherWithBiden
@BorisvanderSpek;1805;1267;23/11/2015;Santiago, Chile;Editor-In-Chief @ChileTodayNews | Correspondent in Chile | Very personal opinions.
@car_mo;3;18;17/04/2009;;Personal Project Fabricator with steel and welding.
@Crowley14Regina;15;189;5/06/2020;New York;Mom Grandkids cat lover gardener
@larry_cavallaro;0;6;17/06/2020;;Enjoy life
@karnikakapoor1;77;53;10/07/2017;Hyderabad, India;I'm a Passionate Designer based in India over 3 years of experience in creating top-notch, elegant pixel-perfect designs.
@stonekoldsoul;1478;1791;14/01/2012;ReTweets are NOT Endorsements,;A solitary Witch🧙🏽‍♀️ A solitary soul. 🕯️🗝️Blessed be the WITCHES. )0(
@danzantus;41;742;21/05/2009;;
@Robertamnesia;2586;2586;17/07/2013;a shithole country aka Amerika;All music, indie film and photography enthusiast. Dog lover. 🐶 It's the end of the world as we know it, and i feel fine. This is a MAGAssholes free zone.🇺🇸
@YahooPH;245960;935;9/02/2009;Philippines;Official Twitter account of Yahoo Philippines for news updates, live tweets, and Yahoo product and event announcements
@marco_vrg;10070;9721;31/01/2012;Lugo (RA), Italy;Financial consultant interested in financial mkts, hedge funds, #assetmanagement , #tech, #SRI, #ESG , former financial reporter, CAIA charthldr
@BirdAngut;103;581;3/07/2020;;angut
@CBSEveningNews;319888;1561;27/05/2009;📺 6:30pm ET;The official account of The CBS Evening News with @NorahODonnell, the longest running evening newscast. Text Norah: (202) 217-1107
@DaniGramFLA;4560;4653;4/08/2016;In my van down by the river;NO LISTS PLS MASTERS DEGREE: TRUMPOLOGY (Dictatorship). When will it become clear we are no longer a Republic w/ #Constitution. #Drumpf = KingDictator MONARCHY
@jules_bec;1435;1397;21/02/2011;Boston, MA;boston u
@BirdAngut;103;581;3/07/2020;;angut
@MParekh;16678;10878;16/07/2006;;Investor, Advisor, Student of Tech Disruption. Founded GS Internet Research Franchise in 1994.
@BirdAngut;103;581;3/07/2020;;angut
@drgilada;247;128;24/04/2010;Mumbai;One of India's first doctor in HIV Care, Infectious Diseases expert, Sec General of PHO and Organised Medicine Academic Guild & President, AIDS Society of India
@BirdAngut;103;581;3/07/2020;;angut
@PeterIlletschko;1385;809;6/04/2009;Austria;Journalist, Ressortleiter Wissenschaft DER STANDARD. Interessiert an Natur- Sozial- u. Geisteswissenschaften, Politik, Klimafragen, vor allem an Haltung.
@Sajid5122;179;553;9/09/2017;Islamabad;Åšâļăm_u_ąľąĩķũm
@rajivshori;113;150;23/07/2009;Nairobi, Kenya;Medic, Mental health professional and legal scholar
@LibProgressive;1959;3052;8/06/2010;;Liberal: characterized by broad-mindedness, tolerant of change. Progressive: favoring or promoting progress. Part of the 99%.
@skaupert;335;735;18/01/2009;Brooklyn, NY;designer (http://macro-eyes.com), teacher (http://pratt.edu), 4 sons, married to a princess. all opinions my own.
@BigHit94230346;3;41;13/02/2020;Los Angeles, California, USA;Fighting Russian propaganda. Counter terrorism news coverage.
@BrianGilmore12;966;1945;29/03/2013;New York, NY;UC-Boulder. PRO choice, LGBTQ, BLM & Native American rights. ANTI trump, liars, racists, GOP & hate. George Floyd, Rayshard Brooks, Breonna Taylor. Blue Wave.
@RaeAnnEmerySAG;921;900;14/04/2008;Texas, USA;I am not on Twitter to change people’s minds. I am on Twitter to let like minded people know they are not alone. 🎩 🏴‍☠️
@madcow455;8070;7171;7/07/2013;;#DisabledVet, CPA, Tax Practitioner & Fraud Examiner- Woodstock, NY. #RESIST #FBR #VoteBlue #DumpTrump #MassMurder #TeamBiden #TaketheSenate
@yogeshthakur8;74;123;18/12/2009;London;
@Megresistor;5169;5154;9/07/2009;United States;resist. Vote blue no matter who, I follow back!!
@Royaards;8829;968;25/03/2009;Amsterdam;Editorial cartoonist for Dutch newspaper @nrc and international media. Also editor-in-chief of @cartoonmovement
