,Twitter Query: #VotoDeConfianza lang:es -filter:retweets -filter:replies,,,,,,,,,,,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
11/08/2020 22:29,@edimarvargas_,Edimar Vargas,El Congreso otorgó el #VotoDeConfianza al gabinete Martos. 🙌. Era lo mínimo que podían hacer si no querian que todo el Perú los dinamite por indolentes csm.,1293389206014824449,,,,0,0,Twitter for Android,992,738,14,,18/05/2011,,Periodista | Content writer | Escribo para revista @EllosyEllas | Antes en @elcomercio_peru y @publimetrope | Feminista en aprendizaje,https://www.instagram.com/edimarvargas/?hl=es-la,,View
11/08/2020 22:28,@EdgarAlarconT,Edgar Alarcón Tejada,Es hora de trabajar en los problemas que aquejan al país. Tenemos por delante menos de un año y hay mucho por hacer. #VotoDeConfianza @atvmasnoticias,1293388858894299136,,pic.twitter.com/YDDKephMPd,,7,11,Twitter for Android,4687,239,20,,24/07/2017,,"Congresista de la República (2020-2021). Arequipeño, excontralor General de la República, 20 años de experiencia en gestión pública y control gubernamental ®",,,View
11/08/2020 22:27,@Progres_ooc,Progres Out Of Context,"Qué triste debe sentirse Cateriano al ver que cualquiera puede lograr el voto de confianza del Congreso, menos él. #VotoDeConfianza",1293388725217615878,,,,0,0,Twitter for Android,182,241,0,,12/03/2020,"Lima, Perú","Si eres anti progre, te sigo de vuelta.",,,View
11/08/2020 22:26,@EderNick,ELIN-G,Cuando un #VotoDeConfianza NEGADO se tumbó un Congreso. 🤩🤩🤩 #UnRecuerdoEnUnTuit,1293388255145197568,,,,2,3,Twitter for Android,888,800,7,,23/04/2010,Perú,Ingeniero • Informática • Software Dev • Frontend • Backend • Docencia • Rock • Long Life • Prosper,http://instagram.com/edernick21,,View
11/08/2020 22:26,@peru21noticias,Diario Perú21,Cateriano: Confío que apoyo del Congreso al Gobierno permita superar grave crisis sanitaria y económica #VOTODECONFIANZA,1293388239601111040,https://peru21.pe/politica/pedro-cateriano-confio-que-apoyo-del-congreso-al-gobierno-de-martin-vizcarra-permita-superar-grave-crisis-sanitaria-y-economica-walter-martos-nndc-noticia/,,,1,9,Twitter Web App,370636,384,561,,17/02/2017,,La redacción web de Perú21.pe te mantendrá informado de lo último del acontecer nacional y mundial.,http://www.peru21.pe,,View
11/08/2020 22:25,@sandrostapleton,Sandro Stapleton,Ese capítulo es de la temporada anterior... #VotoDeConfianza #LOULTIMO #vacunaRusa #WalterMartos,1293388077239611392,,https://pbs.twimg.com/media/EfMJmFNWAAA14Na.jpg,,2,3,Twitter for iPhone,2631,1048,4,,5/02/2012,,"Papá, empresario, economista, Master en Negocios Internacionales, Master en Salud, amante del Perú y de la verdad 🇵🇪",,,View
11/08/2020 22:23,@arti_eg,Arturo EG 🇵🇪,El señor Walter Martos me ha hecho llorar con su discurso #VotoDeConfianza,1293387617250279425,,,,0,0,Twitter for Android,276,883,7,,15/03/2013,"San Borja, Lima - Perú","Peruano, Católico, MBA, Ing. Pesquero y Aliancista. Gym, Tecnología, Excel, Cine, Ortografía y Redacción. Se escribe TODOS, no todes ni todxs, TODOS.",http://www.instagram.com/arti_eg,,View
11/08/2020 22:20,@MadameTempestad,Pamela 🇵🇪 🏳️‍🌈,La luna de miel dura hasta el jueves ¿Apostamos? #VotoDeConfianza,1293386968823472128,,,,0,1,Twitter for Android,2103,685,14,,6/02/2009,Lima,Alianza Lima 💜💜💜 Disléxica Pelirroja bamba,,,View
11/08/2020 22:20,@fnd2627,Lucifer,"#VotoDeConfianza Walter Martos Próximo presidente 2021, tomen nota, nunca me equivoco 😏",1293386961030467584,,,,0,1,Twitter for Android,82,871,0,,20/06/2010,,,,,View
11/08/2020 22:20,@Jortito30DelRey,Jossierge del Rey ware apple morissette de bjork,que diferencia hay entre la reina colocada por la élite que se dedica a matar a los ciudadanos y la presidenta de Nueva Zelanda #VotoDeConfianza RT @pictoline: Nueva Zelanda acaba de cumplir 100 días sin nuevos contagios locales de coronavirus 😮 Así es como lo lograron 💪,1293386896203112448,https://twitter.com/pictoline/status/1292966719338819584,https://pbs.twimg.com/media/EfGKYQ2XsAI_VI0.jpg,,0,1,Twitter Web App,258,4000,0,,2/10/2019,,"me encanta la literatura,el gym,el cine y amo a los hombres soy un radical con los corruptos y los fascistas viuda de Leonard Cohen ❤🧡💛💙💚💜❤",,,View
11/08/2020 22:18,@fnd2627,Lucifer,"#VotoDeConfianza Cuando los Peruanos nos unimos somos capaz de todo, eso esta demostrado y esta no sera la excepción. Sí Se Puede Vamos Perú CARAJO !! 💪😷",1293386367150493697,,,,0,0,Twitter for Android,82,871,0,,20/06/2010,,,,,View
11/08/2020 22:18,@PachecoTuvoz_,José Pacheco 🇵🇪,"No decían que el @congresoperu quería tumbarse la reforma universitaria, vacar al Presidente, destruir el país; ahora que tienen el #VotoDeConfianza empiecen a trabajar. El país nos necesita a todos.",1293386298582081538,https://elcomercio.pe/politica/congreso/primer-ministro-walter-martos-pide-voto-de-confianza-ante-el-congreso-en-vivo-investidura-martin-vizcarra-noticia/,,,0,0,Twitter for Android,1282,1123,4,,18/08/2012,"Lima, Perú","Regidor de Lima Metropolitana. Ciudadano, padre y abogado. #CompromisoCiudadano",http://www.facebook.com/pacheco2021,,View
11/08/2020 22:18,@josuepp24,Josué Paz Pérez,"Seamos sinceros, el premier Martos no trajo ningún plan de reactivación financiera post pandemia ni mecanismos de apoyo para los más pobres, algo que Cateriano si hizo. Pero estos imbéciles le dan el #VotoDeConfianza",1293386281343475717,,,,6,11,Twitter Web App,33,38,0,,16/01/2020,,Boticario de buenas costumbres y cantante de karaoke. #MeQuedoEnCasa,,,View
11/08/2020 22:17,@rvaldezperu,Rudy Valdez,El MINEDU sigue con el mismo ministro Benavides. Se cayó el argumento de Martin Vizcarra que el @congresoperu lo chantajea. Una mentira mas. #VotoDeConfianza,1293386028439543808,,,,0,0,Twitter for Android,14,19,0,,13/03/2011,Lima,"Be brave, be strong. #todostenemosfamilia",,,View
11/08/2020 22:17,@Alm_Montoya,Jorge Montoya,#VotoDeConfianza #PlenoVirtual @congresoperu debe ser honrado por @pcmperu y actuar con integridad. El Poder Legislativo brindó la confianza para que el Ejecutivo replantee su accionar y comience a levantar al País por el bien común #EnTuDefensa #JorgeMontoya #UCICanal,1293386003256881152,,,,2,2,Twitter for iPhone,324,160,0,,24/04/2013,"Lima, Peru","Ex-JCCFFAA, 50 años experiencia temas seguridad y defensa nacional, post grados ESUP-Colegio Interamericano de Defensa-Maestría en estrategia marítima.",,,View
11/08/2020 22:16,@Lulumensajes,𝐿𝑢𝑙ú 🔥🇵🇪,"El fujimorismo debe tener un nuevo asesor. Sino, no entiendo nada. #VotoDeConfianza",1293385848155787265,,,,0,0,Twitter for Android,654,1027,2,,15/04/2011,"𝑀𝑖𝑟𝑎𝑓𝑙𝑜𝑟𝑒𝑠, 𝑃𝑒𝑟ú","Peruana, médica en actividad. Hincha número uno de la selección de vóley y fútbol.",,,View
11/08/2020 22:16,@peru21noticias,Diario Perú21,Vizcarra tras #VOTODECONFIANZA: ”unidad de los peruanos es fundamental para salir adelante”,1293385764584280068,https://peru21.pe/politica/martin-vizcarra-tras-voto-de-confianza-del-congreso-a-walter-martos-la-unidad-de-todos-los-peruanos-es-fundamental-para-salir-adelante-nndc-noticia/,https://pbs.twimg.com/media/EfMHa1PXoAE6mXI.jpg,,2,16,Twitter Web App,370636,384,561,,17/02/2017,,La redacción web de Perú21.pe te mantendrá informado de lo último del acontecer nacional y mundial.,http://www.peru21.pe,,View
11/08/2020 22:14,@SoyMemesDelPeru,Memes Del Perú,Cateriano viendo cómo el Congreso le da el #VotoDeConfianza al Gabinete Martos a las 8 pm. y no a las 6 am.,1293385314883469313,,https://pbs.twimg.com/media/EfMHFuDXkAQpAnh.jpg,,0,6,Twitter for Android,3383,131,6,,18/10/2016,"Lima, Peru",La Máquina de Memes desde 2012 | Humor de actualidad nacional e internacional 😎😂😁,,,View
11/08/2020 22:12,@jama_pepe,JOSE MORALES,#Gallese #VotoDeConfianza #vacunaRusa #Wong PERÚ 11 AGOSTO,1293384762367840256,,https://pbs.twimg.com/media/EfMGbFZXYAAaZb1.jpg,,0,1,Twitter Web App,49,49,0,,28/12/2010,LIMA,EDUCADOR Y TÉCNICO DE COMPUTADORAS.,,,View
11/08/2020 22:12,@juancgk,Juan Carlos,Cateriano viendo cómo el Congreso le da el #VotoDeConfianza al Gabinete Martos a las 8 pm. y no a las 6 am.,1293384721875992579,,https://pbs.twimg.com/media/EfMGjIpWsAMdQ-Q.jpg,,0,1,Twitter for Android,1629,597,13,,6/05/2011,"Lima, Perú",Tuiteo porque no tengo nada más productivo que hacer.,,,View
11/08/2020 22:11,@maxgutierrezs,Max Gutiérrez,Únicamente los rojos votaron en contra del #VotoDeConfianza al gabinete de Marco Martos. Es solo un recordatorio: con la izquierda ni a la esquina.,1293384662665101312,,,,0,0,Twitter Web App,51,196,0,,1/10/2016,"Lima, Perú","Crítico del desorden establecido. Tengo interés por el fútbol, el vino, los gatos, las artes y las ideas. Soy socioliberal, contracultural y budista.",,,View
11/08/2020 22:09,@karinalexandra0,karina cortez,"Taradita ni caso te hicieron jajaja se les acabo el show y votaron por el mismo plan de gobierno o crees que iban a quemar a Luna Acuña o Diez canseco en las elecciones para presidente? #VotoDeConfianza RT @CharitoABC: ATENCIÓN CONGRESO!!!📢 Si Martos quiere el voto de confianza que se vayan Benavides, Alva y Molinelli. No es chantaje, es por el bien del País y de los peruanos sacar a los incapaces y corruptos!!! @congresoperu @EsSaludPeru @MineduPeru @MEF_Peru #VotoDeConfianza",1293384117501997058,https://twitter.com/CharitoABC/status/1293292637517238280,https://pbs.twimg.com/media/EfKyPNuWsAM9t08.jpg,,0,0,Twitter for Android,113,156,1,,7/10/2016,,,,,View
11/08/2020 22:09,@PaulSergioGuer2,Paul Sergio,Votaron por convicción ó querer repetir plato en el #2021 ? #VotoDeConfianza Ya los tenemos identificados.,1293384070383243264,,,,0,2,Twitter for Android,374,2039,1,,20/09/2018,,SSOMA 🚨⛑👨‍🚒,,,View
11/08/2020 22:08,@NP_NoticiasPeru,Noticias del Perú - Política,"Con 115 votos a favor, el @congresoperu otorgó el #VotoDeConfianza al Gabinete Ministerial presidido por @WalterMartosR , quien presentó la política general de Gobierno ante la representación nacional. #ElPerúPrimero",1293383924840792065,https://youtu.be/wfit78q-fpU,,,0,0,Twitter Web App,147,155,0,,6/08/2018,Perú,#Noticias #Perú es un canal #Digital que Transmisión #envivo vía #YouTube Fuentes #RPP #ElComercio #Política #Capital #LoUltimo #CanalN #Exitosa #TvPerú,https://www.npnoticiasdelperu.com/,,View
11/08/2020 22:08,@LeonardoIngaAP,Leonardo Inga Sales,#VotoDeConfianza se le dio la confianza al gabinete esperando que pueda articular entre ejecutivo y legislativo buscando consensos. Es importante que @pcmperu pueda lograr llevar adelante las políticas de gobierno planteadas el día de hoy. #JuntosSaldremosAdelante @RPPNoticias,1293383856347807744,,,,1,4,Twitter for iPhone,895,177,15,,1/03/2015,"Yurimaguas, Peru",Congresista de Acción Popular por Loreto /Ingeniero industrial.,,,View
11/08/2020 22:07,@MariaCespedesc,María Teresa Céspedes,#VotoDeConfianza Desde el hemiciclo del @congresoperu ratificamos nuestro compromiso con el pueblo peruano: que es nuestra razón de ser y esencia. El único interés que primará en la @FrepapBancada será siempre el interés nacional. #FrepapSíCumple,1293383637883326467,,pic.twitter.com/P5hOWpPbO2,,3,12,Twitter Web App,5458,501,19,,18/02/2020,"Lima, Peru","Congresista de la República del Perú, por Lima y Residencia en el Extranjero . Vocera titular del Partido @FrepapBancada AEMINPU",https://www.facebook.com/Frepap-Lima-Maria-Cespedes-Cardenas-167740724145516/,,View
11/08/2020 22:06,@JhonyPardaveL,JHONY PARDAVÉ,Habiéndose aprobado el #VotoDeConfianza esperamos que este Gobierno culmine su mandato dejando al país con estabilidad económica para que el próximo Gobierno continúe con el crecimiento de los últimos 20 años.,1293383208235675649,,https://pbs.twimg.com/media/EfMFKziXkAA_C7y.jpg,,0,0,Twitter for iPhone,163,398,2,,28/03/2013,LIMA-PERU,"Dr. McS e Ingeniero CIP N°73187.Docente Universitario,Empresario y Consultor en Gestión de Transporte,Tránsito Movilidad Sostenible e Impacto Ambiental",http://www.jhonypardave.com,,View
11/08/2020 22:04,@JuanCBQp,Juan Calle  (₍㇏^•ˌ-ˌ•^ノ₎),"Los congresistas ya hicieron su pantomima, gritaron, hablaron estupideces, contaron con sus dedos regordetes y dieron el #VotoDeConfianza Listo, se perdió tiempo, pero eso no les interesa.",1293382792232022017,,,,2,6,Twitter for Android,2268,575,11,,9/02/2016,"Dover, NJ","●Arequipeño trotamundos. Científico. ●Extremos politicos, limites del mismo infierno. ●El genio sólo puede respirar libremente en una atmósfera de libertad.",http://www.sinversos.blogspot.com,,View
11/08/2020 22:04,@luismidelperu,Luis Miguel Guerrero Dávila,#LoÚltimo Presidente @MartinVizcarraC saludó el #VotoDeConfianza otorgado por el @congresoperu al #GabineteMartos  RT @MartinVizcarraC: Saludo el voto de confianza a nuestro premier @WalterMartosR y al Gabinete Ministerial. La unidad de todos los peruanos es fundamental para salir adelante.,1293382774926331904,https://twitter.com/MartinVizcarraC/status/1293380368679219204,"https://pbs.twimg.com/media/EfMEx1pXgAIp7Ot.jpg
https://pbs.twimg.com/media/EfMClaaXYAAzhSd.jpg",,0,0,Twitter for Android,202,596,4,,1/01/2017,,"Periodista con disCAPACIDAD .Coberturas: @Pontifex_es, @CumbreAmericas y @APECPeru2016, @presidenciaperu, @congresoperu, ministerios, etc. Sigue a @Soyhemi",,,View
11/08/2020 22:03,@Victorvas,VicVas,Hoy no reclamará por el poco tiempo que debatieron para dar el #VotoDeConfianza? No le parece irresponsable? 🤔 RT @MartinVizcarraC: Saludo el voto de confianza a nuestro premier @WalterMartosR y al Gabinete Ministerial. La unidad de todos los peruanos es fundamental para salir adelante.,1293382546651316225,https://twitter.com/MartinVizcarraC/status/1293380368679219204,https://pbs.twimg.com/media/EfMClaaXYAAzhSd.jpg,,1,1,Twitter Web App,494,978,22,,7/04/2009,"Lima, Perú","#Cloud, #WebDev, #Scrum Fan del SciFi, Les Luthiers y de las peliculas y libros con final impredecible. #YDaleU, #HalaMadrid",,,View
11/08/2020 22:02,@karinalexandra0,karina cortez,Jajaja tanto SHOW con Cateriano y al final votaron por los mismos ministros y por el mismo plan de gobierno y lo peor ya está con roche @PodemosPepeLuna por no pagar sus impuestos y robarle al pueblo al que dice defender #VotoDeConfianza,1293382409753448448,,,,0,0,Twitter for Android,113,156,1,,7/10/2016,,,,,View
11/08/2020 22:02,@Meleyza1,Meli Eyzaguirre 💚,Cateriano viendo cómo le dan el #VotoDeConfianza a Martos.,1293382290131869697,,https://pbs.twimg.com/media/EfMEO4WXgAARFRZ.png,,0,0,Twitter Web App,714,812,14,,18/04/2013,,"""Durante la mayor parte de la historia, Anónimo era una mujer."" (Virginia Woolf)",,,View
11/08/2020 22:01,@pcmperu,Consejo de Ministros,🗞️Premier @WalterMartosR ratificó su compromiso de trabajar unidos para atender pueblos más alejados del país #VotoDeConfianza,1293382169109430273,https://www.gob.pe/es/n/287396,,,7,63,Twitter Web App,592609,627,956,✅,31/07/2010,Lima - Perú,"Presidencia del Consejo de Ministros: Promovemos un Estado moderno, articulado y descentralizado, orientado a brindar un servicio de calidad a la ciudadanía",http://www.gob.pe/pcm,,View
11/08/2020 22:00,@AlfredoBenitesF,Alfredo Benites Agurto (Frepap),"🤝Hoy, la bancada del #Frepap le otorgó el #VotoDeConfianza al gabinete Martos. Un discurso sencillo, claro y realista. Espero que su recorrido por las distintas regiones del país, permitan reducir la visión centralista de sus antecesores. #Frepap",1293381827596619776,,,,1,3,Twitter Web App,2720,144,16,,29/02/2020,"Huaura, Lima, Perú",Congresista de la República del Perú (2020-2021) 🇵🇪 Represento a #LimaProvincias por el #Frepap. #ConElAgroAlPoder🌱,https://www.facebook.com/AlfredoBenitesF/,,View
11/08/2020 21:58,@mariluarvut,MARILU,"Cuando vivimos encerrados en nuestros propios intereses, nuestro equilibrio y la posibilidad de sentirnos libres se desvanece. #VotoDeConfianza #COVID19 #Vizcarra",1293381328394752007,,https://pbs.twimg.com/media/EfMDdTRWkAAivm6.jpg,,0,0,Twitter Web App,146,106,1,,23/04/2018,,El éxito es el resultado de lo que sembramos con amor. Ponerlo en práctica es abogar por un mundo mejor.,,,View
11/08/2020 21:58,@OXcarPeru,OX,Después del chongazo que les cayó y de hacer públicas las Mafias en el Congrezoo... no les quedó otra. Ahora a seguir trabajando! #VotoDeConfianza,1293381214074802177,,,,0,0,Twitter for iPhone,172,224,1,,30/12/2019,"Lima, Peru","☺️🌈 🎵🎶 NO DEBATO CON TROLLS, LOS BLOQUEO 😘 Perfiles ANÓNIMOS los ignoro. Fighter y AntiFujimorista",,,View
11/08/2020 21:56,@rennanespinoza,Rennan Espinoza,"Somos Perú ratificó su posición en el #VotoDeConfianza porque la salud de la población y la reactivación económica del país no pueden esperar más. Es hora de trabajar en consenso, sumando esfuerzos siempre en beneficio del país.",1293380718622584832,,,,2,1,Twitter for iPhone,3194,390,47,,2/07/2010,Puente Piedra,,http://renanespinoza.com,,View
11/08/2020 21:53,@mariluarvut,MARILU,"Estamos en vísperas de un nuevo nacimiento de la sociedad futura. Todo nos indica que muy pronto la humanidad entera estará sujeta a un cambio de conciencia que nos introducirá en un mundo pleno, donde la verdad, la paz y la justicia serán sus pilares #VotoDeConfianza",1293380016311590912,,,,0,0,Twitter Web App,146,106,1,,23/04/2018,,El éxito es el resultado de lo que sembramos con amor. Ponerlo en práctica es abogar por un mundo mejor.,,,View
11/08/2020 21:51,@RobertoAlvaro82,Roberto Alvaro,"Toda titular sobre el #VotoDeConfianza otorgado al gabinete debería ir más o menos así:""Congreso otorga confianza al gabinete Martos, no sin antes haber hecho el ridículo"".",1293379515473952769,,,,0,7,Twitter for Android,1534,233,1,,28/03/2010,Arequipa-Perú,"Ser humano a tiempo completo y a carta cabal. Mollendino. Marketing,gestión,opinión,poesía. Anti;anti crueldad,anti corrupción.",http://latestaponderada.blogspot.com,,View
11/08/2020 21:51,@MidisFoncodes,MIDIS Foncodes,"#VotoDeConfianza | @MidisFoncodes y @MidisQaliWarma, realizarán un trabajo coordinado 🤝 para garantizar la seguridad alimentaria, priorizando proyectos productivos 👨‍🌾👩‍🌾 que incidan en la provisión de alimentos destinados a la población escolar y así evitar la desnutrición.",1293379469143683074,,https://pbs.twimg.com/media/EfMBKr9WAAE9buf.jpg,,2,4,Twitter Web App,18951,1797,54,✅,24/04/2012,"Lima, Perú",Trabajamos en la generación de oportunidades económicas sostenibles de hogares rurales pobres extremos. #ElPerúPrimero #PrimeroMiSalud #PerúEstáEnNuestrasManos,http://www.foncodes.gob.pe/portal/,,View
11/08/2020 21:51,@PapasFritas_Mmm,Minino Misántropo,Distribución de votos del pleno del Congreso y su #VotoDeConfianza al Gabinete liderado por Walter Martos.,1293379462558515200,,https://pbs.twimg.com/media/EfMBvMlXgAI-tko.jpg,,0,2,Twitter Web App,728,4049,0,,19/11/2012,"San Martín de Porres, Perú",✍️Ingeniería Industrial - UPC 📚 Amor y Respeto por los Animales CatLover 🐱/ DogLover 🐶 Fútbol ⚽️ •Aliancista de ❤️• Dibujo ✏️ 🇵🇪¡ Arriba Perú !🇵🇪,,,View
11/08/2020 21:50,@sofiabravot,Sofía Bravo,Amé la mochila de María Antonieta Alva hoy en el congreso #VotoDeConfianza,1293379178591469568,,,,0,2,Twitter for iPhone,346,289,1,,6/06/2010,"Lima , Perú ","Comunicadora para el Desarrollo, ambientalista y creedora de un mundo mejor 🌼",,,View
11/08/2020 21:49,@maxturbio,maxturbio,#VotoDeConfianza el congreso hoy ...,1293378950790610944,,https://pbs.twimg.com/media/EfMBSDbWkAAaeAR.jpg,,0,2,Twitter Web App,0,2,0,,7/01/2019,,aventurero,,,👤
11/08/2020 21:48,@SucamecPeru,Sucamec Perú,"#ElPerúPrimero | Con 115 votos a favor, Congreso otorgó el #VotoDeConfianza al Gabinete Ministerial presidido por @WalterMartosR RT @pcmperu: Con 115 votos a favor, el @congresoperu otorgó el #VotoDeConfianza al Gabinete Ministerial presidido por @WalterMartosR, quien presentó la política general de Gobierno ante la representación nacional. #ElPerúPrimero",1293378801209147392,https://twitter.com/pcmperu/status/1293377888893493248,https://pbs.twimg.com/media/EfL_utVXoAAybig.jpg,,1,4,Twitter Web App,2891,415,13,✅,1/06/2017,Peru,"Superintendencia Nacional de Control de Servicios de Seguridad, Armas, Municiones y Explosivos de Uso Civil. #PerúEstáEnNuestrasManos #PrimeroMiSalud",http://www.sucamec.gob.pe,,View
11/08/2020 21:46,@MidisPeru,MIDIS,"#VotoDeConfianza | @MidisFoncodes y @MidisQaliWarma, realizarán un trabajo coordinado para garantizar la seguridad alimentaria, priorizando proyectos productivos que incidan en la provisión de alimentos destinados a la población escolar y así evitar la desnutrición.",1293378250643734528,,https://pbs.twimg.com/media/EfMAqfEWAAAG_jZ.jpg,,1,11,Twitter for Android,238982,1095,329,✅,9/09/2013,Perú,Ministerio de Desarrollo e Inclusión Social Linea social 101 #PrimeroMiSalud #PerúEstáEnNuestrasManos,https://www.gob.pe/midis,,View
11/08/2020 21:44,@DiarioElPeruano,Diario El Peruano,"El Congreso comunica al presidente Martín Vizcarra que le otorgó #VotoDeConfianza al Gabinete Martos  Oficio está firmado por el presidente del Congreso, Manuel Merino de Lama, y el primer vicepresidente, Luis Valdez.",1293377907176472576,https://bit.ly/3gQkd7N,https://pbs.twimg.com/media/EfMAKVVXYAYkVT4.jpg,,5,16,Twitter Web App,227390,326,512,✅,14/10/2015,Peru,Cuenta del Diario Oficial El Peruano y las #NormasLegales. Sigue también @agencia_andina #PrimeroMiSalud y #LávateLasManos,http://www.elperuano.pe,,View
11/08/2020 21:44,@pcmperu,Consejo de Ministros,"Con 115 votos a favor, el @congresoperu otorgó el #VotoDeConfianza al Gabinete Ministerial presidido por @WalterMartosR, quien presentó la política general de Gobierno ante la representación nacional. #ElPerúPrimero",1293377888893493248,,https://pbs.twimg.com/media/EfL_utVXoAAybig.jpg,,35,91,Twitter Web App,592580,627,956,✅,31/07/2010,Lima - Perú,"Presidencia del Consejo de Ministros: Promovemos un Estado moderno, articulado y descentralizado, orientado a brindar un servicio de calidad a la ciudadanía",http://www.gob.pe/pcm,,View
11/08/2020 21:44,@alexperec,Alejandro Neyra,"Con el #VotoDeConfianza al gabinete seguiremos trabajando con sentido de unidad con los representantes del @congresoperu para atender sobre todo las necesidades urgentes de nuestros pueblos indígenas, buscando cerrar las brechas sociales y cumplir nuestra #PolíticaDeCultura2030",1293377835462283264,,,,1,24,Twitter Web App,4788,2790,43,,23/08/2009,"Lima, Peru",Escritor y diplomático peruano. Ministro de Cultura ¡Arriba Perú!,http://www.alejandroneyra.com,,View
11/08/2020 21:43,@sencinas,Salvador Encina,"#VotoDeConfianza habría un ""toma y daca"" con el @congresoperu muchos legisladores estarían contra los contratos de ""gobierno a gobierno"" anunciado por @PCaterianoB porque afecta a las mafias de congresistas, gobiernos regionales y alcaldes @MontoyaAbsalon @rmapalacios",1293377635561680897,,,,0,0,Twitter Web App,12,49,0,,16/04/2009,,,,,View
11/08/2020 21:43,@Jqc0205,Jqc,Ya se veía venir el #VotoDeConfianza No le quedaba de otra al congreso.,1293377595678040064,,,,0,1,Twitter for Android,6,260,0,,5/02/2020,,,,,View
11/08/2020 21:42,@ElCaminantep,El Caminante,El gobierno de Paraná ha anunciado q firmará un acuerdo con Rusia para producir la vacuna Sputnik V. El anuncio se produjo horas después de que el presidente ruso Vladimir Putin anunciara la vacuna como la primera registrada en el mundo. Se dan cuenta q rapidez #VotoDeConfianza,1293377165589983232,,,,0,0,Twitter Web App,1469,3747,9,,3/10/2012,,Amante de las nuevas eras. Caminando en tus letras.🇵🇪,,,View
11/08/2020 21:40,@ERICKEDU,ERIK,"#VotoDeConfianza Vizcarra puso al congreso POPULISTA contra la pared, si votaban en contra el 2021 todos serian cadáveres políticos, porque tendrían en su contra a todo el país. Puro calculó político. Los que están haciendo bilis son los Fujiapristas. 😆",1293376870621339649,,,,0,1,Twitter Web App,1143,1424,4,,31/05/2009,,"El mundo necesita gente alegre, con pequeñas dosis de locura. Loco de atar/ adicto a la música/ Comercio internacional en Oakland University ...No me sigan.",https://Zen.com,,View
11/08/2020 21:40,@naniluce,Lu Rocha💙🇵🇪,Que bueno que dieron el #VotoDeConfianza casi al mismo gabinete anterior. Ahora pónganse a trabajar @congresoperu,1293376727809433602,,,,0,1,Twitter for Android,306,632,1,,16/09/2009,Peru,"Dios, Layka, mi familia y Alianza Lima. Ceratiana eterna.",http://nanilu374-luce.blogspot.com/,,View
11/08/2020 21:40,@el_chichitoN,JSalasA,¿Cómo se sentirá Cateriano luego de saber que el Congreso finalmente le dio #VotoDeConfianza al gabinete de Walter Martos?,1293376669365997570,,,,0,0,Twitter for iPhone,33,267,0,,29/05/2013,"Lima, Peru",Practicante de periodismo y profesor de español en WhatsApp,,,View
11/08/2020 21:39,@realDanielJara,Daniel Jara,"El congreso de la República otorgó el #VotoDeConfianza con 115 votos al premier, Walter Martos, esta vez no esperamos hasta las 5 am para estar informados de la votacion en pleno.",1293376605155450881,,,,0,0,Twitter for Android,1527,1402,1,,26/02/2020,"Lima, Peru","Demócrata Capitalista |Análisis Político y Economía| Estudia Arquitectura en USMP. ~Politics is not an exact science, it is an art~",https://www.instagram.com/eusou.jaracabins/,,View
11/08/2020 21:39,@HallaziLuis,Luis Hallazi,"115 #VotoDeConfianza a Walter Martos, frente a 37 de Cateriano. Una explicación es el rechazo a cierta élite limeña autoreferencial. PRIORIDAD la lucha contra #COVIDー19",1293376501728124931,,https://pbs.twimg.com/media/EfL_EeZX0AAr6o8.jpg,,1,4,Twitter for Android,938,966,2,,12/10/2017,,"Abogado y politólogo, investigador en derechos humanos.",,,View
11/08/2020 21:39,@CarlosCSalv,CarlosCS,#VotoDeConfianza hasta el nuevo gabinete obtuvo un voto de confianza.... ella nunca sabrá lo que es eso :(,1293376447579598850,,,,0,0,Twitter for Android,1,9,0,,30/09/2019,,,,,View
11/08/2020 21:39,@cconstantini,Carlo A. Constantini,"La votación de #VotoDeConfianza más alta de los últimos 20 años con un mensaje simple y sin querer imponer las cosas. Ah y con el mismo gabinete. Esto le va a doler a Cateriano. RT @kikesitov67: #LOULTIMO Pleno del congreso otorgó la confianza al gabinete ministerial presidido por Walter Martos. 115 votos a favor, 5 en contra y 4 abstenciones @RPPNoticias",1293376428738830338,https://twitter.com/kikesitov67/status/1293362945368481794,,,0,2,Twitter for Android,555,853,10,,25/04/2009,Peru,Economista. Mercado de Capitales e inversiones. Liberal clásico.,,,View
11/08/2020 21:39,@ChristianQuine,Christian Quiñe,"Le otorgan el Voto de Confianza al Gabinete de Walter Martos, pese a que es casi el mismo equipo, con el mismo plan, mismas ideas, con los mismos errores, es decir, el Congreso no soportó la presión de los medios de comunicación. #VotoDeConfianza",1293376424204795904,,,,0,0,Twitter for Android,215,5,0,,1/11/2019,"Lima, Peru","Soy lo bastante sincero, digo lo que es, lo que pienso y el problema, sí a alguien no le gusta, pues que pena.",https://www.facebook.com/cquineespinoza,,View
